"ID","@Fotos","Tipografía","Año","Créditos","Descripción","Distribución","Clasificación","Familia(s)","Formato","Estilos","Lenguajes","Glifos","Set","Estudio","Fundidora","Enlace"
"17","opticaNor.jpg","Optica Normal","2009","Manuel Guerrero","OPTICA Normal es una fuente tipográfica construida con la ayuda de líneas ortogonales ensambladas en un orden fijo. En este juego óptico podemos percibir una textura de patrón pero si analizas las direcciones de línea verás el texto dentro. Este tipo funciona mejor en tamaños grandes. OPTICA Normal es un homenaje al arte óptico del artista colombiano Omar Rayo.<br>JUGDGE’S CHOICE | RICHAR KEGLER<br>The premise of Excellence in Type Design made the judging of the 165 entries difficult. There were many designs that demonstrated skill and understanding of type design to a level of excellence but were still eliminated for various reasons. Perhaps the field of type design grows so much every year that the cumulative pool of designs make the truly unique and exceptional harder to reveal themselves. To contribute something new to such a studied and focused field risks failure or redundancies at every turn.<br>This entry was thought at first to be possibly a put-on. It wasn’t until several hours of judging and returning to this design bleary-eyed that the letters finally emerged for me. Before then, it was simply an engaging piece of op art. The seamless lockup as a solid field of intersecting lines at 90-degree angles, even in the negative space, creates something quite jarring. As a readable, functional font, it is, well, not. As a display face, it is unique, clever, and once deciphered, very memorable. The level of engagement is the polar opposite of Beatrice Warde’s “Crystal Goblet” treatise. It was unknown at the time of judging that the designer was from Mexico, but the Aztec-Mayan pattern filtered via the Mexico ’68 Olympic identity system seemed to be the clearest precedent for this, making it culturally authentic as well as excellent.","público con costo","Experimental","Optica Normal","otf","2","Afaan Oromo, Afar, Albanian, Alsatian, Amis, Anuta, Aragonese, Arrernte, Asturian, Basque, Bikol, Bislama, Cebuano, Chavacano, Chickasaw, Delaware, Dholuo, Drehu, Fijian, Filipino, Galician, Gooniyandi, Guadeloupean, Haitian Creole, Han, Hiligaynon, Hopi, Ido, Ilocano, Indonesian, Interglossa, Interlingua, Irish, Jamaican, Javanese, Kapampangan, Kikongo, Kinyarwanda, Kiribati, Kirundi, Klingon, Latin, Latino Sine, Lojban, Makhuwa, Malay, Manx, Marquesan, Meriam Mir, Mohawk, Murrinhpatha, Nagamese Creole, Ndebele, Neapolitan, Ngiyambaa, Novial, Occidental, Oshiwambo, Palauan, Papiamento, Potawatomi, Qeqchi, Quechua, Rarotongan, Rotokas, Samoan, Saramaccan, Sardinian, Scottish Gaelic, Seri, Seychellois, Shawnee, Shona, Sicilian, Slovio, Somali, Sotho Southern, Spanish, Sranan, Sundanese, Swahili, Swazi, Tagalog, Tetum, Tok Pisin, Tokelauan, Tshiluba, Tsonga, Tumbuka, Tzotzil, Uzbek, Volapuk, Waraywaray, Warlpiri, Wayuu, Wikmungkan, Wiradjuri, Xhosa, Yapese, Yindjibarndi, Zapotec, Zulu","Menor que 256","Básico",NULL,"BlueTypo","https://bluetypo.com/site/es/2017/04/21/optica/"
"18","MiniBlock25a.png","MiniBlock Pro","2010","Manuel Guerrero","MiniBlock Pro una fuente mosaico, basada en módulos rectangulares que al ser utilizada forma una textura en la que las letras se acoplan horizontal y verticalmente, creando formas complejas. Una de sus características es el acoplamiento vertical de algunas letras como la L, T, Y con las astas de otras letras. Su principal función es ornamental y lúdica por lo que su legibilidad queda en un segundo plano.El sistema tipográfico incluye múltiples versiones que amplían sus posibilidades de uso. MiniBlock VF, MiniBlock Pro y Pro Rounded ofrecen 758 glifos, funciones OpenType avanzadas, bordes y ornamentos integrados, compatibilidad con Mac Roman y Windows 1252, y soporte para 203 idiomas. MiniBlock 3D, construida a partir de tres archivos en capas (Front, Side y Bottom), permite crear efectos tridimensionales mediante la superposición de estilos. MiniBlock Titles presenta un mayor peso visual, diseñado para titulares de alto impacto, mientras que MiniBlock Borders reúne ornamentos y marcos accesibles directamente desde el teclado.","público con costo","Experimental","MiniBlock Pro Condensed, MiniBlock Pro Medium, MiniBlock Pro Extended, MiniBlock Pro VF, MiniBlock 3D","otf, ttf (variable)","5","Abenaki, Afaan Oromo, Afar, Afrikaans, Albanian, Alsatian, Amis, Anuta, Aragonese, Aranese, Arrernte, Arvanitic, Asturian, Atayal, Aymara, Basque, Belarusian, Bemba, Bikol, Bislama, Bosnian, Breton, Cape Verdean, Catalan, Cebuano, Chamorro, Chavacano, Chichewa, Chickasaw, Cimbrian, Cofan, Corsican, Creek, Crimean Tatar, Croatian, Czech, Danish, Dawan, Delaware, Dholuo, Drehu, Dutch, English, Estonian, Faroese, Fijian, Filipino, Finnish, Folkspraak, French, Frisian, Friulian, Galician, Ganda, Genoese, German, Gikuyu, Gooniyandi, Greenlandic, Greenlandic Old Orthography, Guadeloupean, Gwichin, Haitian Creole, Han, Hawaiian, Hiligaynon, Hopi, Hotcak, Hungarian, Icelandic, Ido, Ilocano, Indonesian, Interglossa, Interlingua, Irish, Italian, Jamaican, Javanese, Jerriais, Kala Lagaw Ya, Kapampangan, Kaqchikel, Karelian, Kashubian, Kikongo, Kinyarwanda, Kiribati, Kirundi, Klingon, Kurdish, Ladin, Latin, Latino Sine, Lithuanian, Lojban, Lombard, Low Saxon, Luxembourgish, Maasai, Makhuwa, Malay, Maltese, Manx, Maori, Marquesan, Meriam Mir, Mirandese, Mohawk, Montagnais, Montenegrin, Murrinhpatha, Nagamese Creole, Ndebele, Neapolitan, Ngiyambaa, Niuean, Noongar, Norwegian, Novial, Occidental, Occitan, Oshiwambo, Ossetian, Palauan, Papiamento, Piedmontese, Polish, Portuguese, Potawatomi, Qeqchi, Quechua, Rarotongan, Romansh, Rotokas, Sami Inari, Sami Lule, Sami Northern, Sami Southern, Samoan, Sango, Saramaccan, Sardinian, Scottish Gaelic, Serbian, Seri, Seychellois, Shawnee, Shona, Sicilian, Silesian, Slovak, Slovenian, Slovio, Somali, Sorbian Lower, Sorbian Upper, Sotho Northern, Sotho Southern, Spanish, Sranan, Sundanese, Swahili, Swazi, Swedish, Tagalog, Tahitian, Tetum, Tok Pisin, Tokelauan, Tongan, Tshiluba, Tsonga, Tswana, Tumbuka, Tuvaluan, Tzotzil, Ukrainian, Uzbek, Venetian, Vepsian, Volapuk, Voro, Wallisian, Walloon, Waraywaray, Warlpiri, Wayuu, Welsh, Wikmungkan, Wiradjuri, Wolof, Xavante, Xhosa, Yapese, Yindjibarndi, Zapotec, Zulu, Zuni","entre 256 - 1000","Extendido",,"BlueTypo","https://bluetypo.com/site/es/2022/08/27/miniblock/"
"19","mestiza.jpg","Mestiza","2021","Antonio Mejía Lechuga","Mestiza es una fuente tipográfica compuesta por dos familias: Mestiza y Mestiza Sans, fusiona raíces ancestrales con elementos artesanales y contemporáneos, creando una mezcla vibrante de elegancia y fuerza. Sus terminales nítidos y alto contraste le confieren una personalidad distintiva, perfecta para titulares y proyectos de marca. Estas familias incluyen de 24 versiones, romanas, sans, itálicas diversos sets tipográficos como: números Old-Style, superiores, inferiores, ligaduras contextuales y discrecionales, así como símbolos y alternativas, Mestiza ofrece una amplia gama de opciones creativas.Esta fuente está disponible para compra directa en <a href=""https://typenetwork.commestiza-sans"">Type Network</a>. También se ofrece bajo el modelo de suscripción de <a href=""https://fonts.adobe.commestiza-sans"">Adobe Fonts</a>, tanto para aplicaciones de escritorio como para su uso como webfont.","público con costo","Texto, Títulos","Mestiza Text, Mestiza Sans","otf, woff, woff2","24","Afar, Afrikaans, Aragonese, Asu, Azeri, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Zarma, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kaingang, Koyra Chiini, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Nigerian Pidgin, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Koyraboro Senni, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Shona, Somali, Albanian, Swati, Saho, Southern Sotho, Sundanese, Swedish, Swahili, Silesian, Teso, Turkmen, Tswana, Turkish, Taroko, Tsonga, Tasawaq, Volap√ºk, Vunjo, Walloon, Walser, Warlpiri, Wolof, Xhosa, Soga, Zulu","Entre 256 y 1000","Básico",,"Antonio Lechuga","https://fonts.antoniolechuga.com/producto/mestiza-text-desktop/"
"59","Lagarto.jpg","Lagarto","2001","Gabriel Martínez Meave","Lagarto está basada en la manuscrita de Luis Lagarto, calígrafo novohispano del siglo XVI. Sus letras son increíblemente imaginativas y rebuscadas, y en ellas conviven elementos manieristas europeos y mexicanos. Las proporciones latinas clásicas se mezclan en Lagarto con bucles, espirales y volutas barrocas que provocan una lectura vívida, vertiginosa, y, paradójicamente, muy legible. Las versiones romana, itálica y versales/versalitas (small caps) corresponden a estilos manuales originales del calígrafo y no a invenciones del tipógrafo. Lagarto forma parte del Compendio de Tipografías Mexicanas, iniciativa de Gonzalo García Barcha, entusiasta tipógrafo y editor mexicano. En su versión original fue comisionada para Blacamán Editores. Gonzalo también contribuyó con el manuscrito original en el que se inspiraron las formas de las letras, así como con la idea y la motivación inicial para este elegante proyecto. *(2001)","público con costo","Títulos","Lagarto","ttf, otf, wof","3","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.sudtipos.com/font/lagarto"
"60","Darka.jpg","Darka","2006","Gabriel Martínez Meave","Darka es una espléndida y misteriosa dama oscura reencarnada en vectores digitales como una original letra negra fuente. Sus atributos góticos, medievales y nocturnos adoptan la forma de terminales afilados, curvas seductoras, estilo caligráfico y carácter complejo. Darka combina el equilibrio de Textura, la fluidez de Fraktur y la elegante proporción entre minúsculas y mayúsculas de Bâtarde en un tipo de letra elegante e ingenioso con alma mexicana. Darka, que comenzó como una mano caligráfica personal, evolucionó lentamente hasta convertirse en un tipo digital, desarrollando glifos alternativos, florituras y signos especiales para preservar sus orígenes manuscritos y su delicada tensión, convirtiéndola en un excelente tipo de pantalla y, sorprendentemente, incluso en un distintivo y nítido fuente para textos cortos. Darka recibió un premio a la excelencia en el concurso anual del Type Directors Club de Nueva York.","público con costo","Títulos","Darka Regular","ttf, otf, wof","1","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Básico",,"Sudtipos","https://www.myfonts.com/collections/darka-font-sudtipos"
"62","Fulgora.jpg","Fulgora","1995","Gabriel Martínez Meave","Fulgora es una tipografía caligráfica concebida como la extensión digital de un estilo personal trazado directamente con pluma sobre papel, donde la fantasía actúa como eje creativo. Su diseño se inspira en una fusión de tradiciones gráficas: los estilos góticos Bâtarde y Civilité de finales de la Edad Media, los sistemas de escritura Kannada y Cingalés del sur de India, las unciales celtas y diversas escrituras vernáculas mexicanas. Cada carácter fue dibujado sin retoques y posteriormente vectorizado, manteniendo la textura manual y las imperfecciones propias del gesto caligráfico. El espaciado y el kerning fueron cuidadosamente trabajados para conservar en el entorno digital el acabado natural de la caligrafía hecha a mano. La familia se compone de dos variantes: Blanca y Negra, ejecutadas con plumillas de distinto grosor pero con el mismo estilo y proporciones. Diseñada originalmente en 1995, Fulgora propone una síntesis expresiva entre la escritura artesanal y el diseño tipográfico digital.","público con costo","Títulos","Fulgora","ttf","2","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","menor que 256","Básico",,"Sudtipos","https://www.myfonts.com/collections/fulgora-font-sudtipos"
"65","Mexica.jpg","Mexica","1995","Gabriel Martínez Meave","Mexica es un homenaje tipográfico al náhuatl, la lengua de los aztecas, pero también la lengua franca del antiguo México. Mexica"" no es sólo la forma feminizada y latinizada de la palabra ""México"", sino también el nombre de los habitantes de este lugar: los Me-xic-cah. El náhuatl, cuando se compone en alfabeto latino, abunda en formas de letras diagonales: Las XYZ son omnipresentes en su ortografía clásica, al igual que las KW en la moderna. Esta característica visual se ve reforzada por la ausencia de algunas letras redondeadas, como BDG, que representan sonidos inexistentes en esta lengua milenaria. Además, el náhuatl es una lengua con tendencia a formar palabras muy largas que dan al texto un aspecto bastante diferenciado, a diferencia del inglés, por ejemplo, con su abundancia de palabras cortas. Mexica se diseñó para que se viera bien en todos estos contextos, y para que funcionara tan bien como una familia tipográfica con gracias contemporánea, atrevida y estilizada, con varios pesos para composición de texto y display. Además, sus terminales y su estructura general -desprovista casi por completo de líneas rectas- se inspiran en la arquitectura angular y la ornamentación de la antigua ciudad de México: Tenochtitlan.","público con costo","Títulos","Mexica Font Family","ttf, otf, wof","9","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.myfonts.com/es/collections/mexica-font-sudtipos"
"66","Wordless.jpg","Wordless Script","2019","Gabriel Martínez Meave","Wordless Script es el sitio fuente elegido para escribir esas cosas que van más allá de las palabras. Basado en las escrituras conectadas de la Inglaterra de finales del siglo XVIII, este tipo de letra conserva el acabado irregular y los trazos gestuales del plumín puntiagudo. Es, por así decirlo, una interpretación personal de la mano redonda inglesa tal y como se ejecutaba originalmente con la pluma de ave. Impregnado de un espíritu rococó, neoclásico y romántico, Wordless irradia la galantería de una época en la que la célebre ""douceur de vivre"" que tanto gustaba a Talleyrand seguía viva; ecos de la cual aún nos persiguen en nuestro ecléctico siglo XXI, que ha vuelto a apreciar estos magníficos estilos de antaño. Wordless presenta variantes alternativas de la mayoría de las letras, ligaduras y terminaciones caligráficas múltiples, ideales para etiquetas elegantes, envases de alta gama y papelería personalizada, así como composiciones para marcas selectas, títulos exquisitos, versos, cartas y textos breves, como los destinados a ser leídos sólo con los ojos o para susurrar al oído de alguien.","público con costo","Script","Wordless Script Family","ttf, otf, wof","1","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.myfonts.com/es/collections/wordless-script-font-sudtipos"
"68","espinosa_nova.jpg","Espinosa Nova","2002","Cristóbal Henestrosa","Espinosa Nova es un rescate basado en los tipos utilizados por Antonio de Espinosa, el impresor mexicano más importante del siglo XVI y, posiblemente, el primer punzonista del continente americano (1551). En 2010, sus principales fuentes fueron galardonadas con dos certificados de excelencia: uno por el TDC2 (Type Directors Club Typeface Design Competition) y otro por Tipos Latinos (Bienal de Tipografía Latinoamericana). Según Robert Bringhurst, se trata de “una familia tipográfica inusualmente inteligente, que se remonta a uno de los momentos más emocionantes de la historia de la tipografía y se proyecta hacia el futuro tipográfico”. Todas las fuentes destinadas a la composición de texto incluyen versalitas, cinco juegos de cifras y muchas ligaduras de f y s larga. Además, las fuentes Capitular permiten crear interesantes efectos mediante la superposición de capas. Esta familia se siente muy cómoda en libros, pero puede utilizarse en cualquier lugar donde se requiera un toque de clasicismo y elegancia.","público con costo","Texto","Espinosa Nova Regular, Espinosa Nova Italic, Espinosa Nova Bold, Espinosa Nova Bold Italic, Espinosa Nova Rotunda (Bold Alt), Espinosa Nova Aldine Italic, Espinosa Nova Titling, Espinosa Nova Ornaments, Espinosa Nova Capitular I, Espinosa Nova Capitular II, Espinosa Nova Capitular III, Espinosa Nova Capitular IV","otf","12","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Básico",,"Henestrosa Type","https://www.myfonts.com/es/collections/espinosa-nova-font-estudio-ch"
"69","Terafile.jpg","Terafile","2021","Raúl Plancarte","Terafile, una familia sin gracias diseñada por Raúl Plancarte que se inspira en la estética de alta tecnología. Se compone de ocho variantes de peso con sus respectivas versiones en cursiva. Idealmente funciona para plasmar de forma gráfica el universo relacionado con la tecnología, la ciencia-ficción, la industria y temas similares. Es una familia mixta, porque la construcción de ciertas letras (como en ""a"", ""f"", ""z"", ""B"", ""P"", entre otras) se enriquece con diferentes acabados en estructura para ganar diferenciación y plasticidad. En otras palabras, se aleja de un diseño totalmente académico. Otra línea importante en el concepto creativo de este tipo de letra es la función de sus trampas de tinta, que, además de cumplir su función primaria, sirven para ganar gestualidad en su uso.Este fuente es capaz de cubrir necesidades de diseño complejas al permitir la asociación con temas específicos, lo que lo hace altamente competitivo en su línea gráfica.","público con costo","Texto","Terafile Family","ttf, otf, wof","17","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.myfonts.com/es/collections/terafile-font-sudtipos"
